location,Latitude,Longitude
Våland,58.96173,5.73147
Hansjordnesbukta,69.65625,18.96372
Knarrdalstranda,59.133539999999996,9.6219
Nygaardsgata,59.210191,10.940097
Solheim,59.928612,10.953203
Moheia Vest,66.312191,14.149923
Kannik,58.96415,5.72785
E6 Alna senter,59.92556,10.850367
Bekkestua,59.9181,10.5839
E6-Tiller,63.3576,10.3719
"Rolland, Åsane",60.462665,5.332447
Bankplassen,61.11288,10.46497
Bygdøy Alle,59.91898,10.69707
"Vangsveien, Hamar",60.79646,11.09777
Olav V gate,67.275501,14.419057
Leiret,60.88364255,11.55930063
"Minnesundvegen, Gjøvik",60.79089,10.6967
Kirkeveien,59.93233,10.72447
Klosterhaugen,60.395929,5.312674
Alnabru,59.92773,10.84633
Bakke kirke,63.43293,10.41067
Seljestad Rv83,68.79222701,16.53742346
Hjortnes,59.91132,10.70407
Bryn skole,59.914106,10.82263
Elgeseter,63.419239,10.395945
Lensmannsdalen,59.15927,9.63565
Eilif Dues vei,59.90608,10.61195
Danmarks plass,60.37408,5.34042
Ringsakervegen,60.88593,10.93785
Alvim,59.27377544,11.08919017
Rådal,60.294268,5.324619
Torvet,63.43038,10.39355
Loddefjord,60.361135,5.23686
Sofienbergparken,59.92295,10.76573
"Rv 4, Aker sykehus",59.94103,10.79803
Vigernes,59.955477,11.073983
Smestad,59.93255,10.66984
St.Croix,59.2103,10.9454
Nedre Langgate,59.263725,10.411165
Furulund,59.057304,9.695568
Lillehammer barnehage,61.12087,10.46563
Manglerud,59.89869,10.81495
Schancheholen,58.951877,5.721875
Kransen,59.433471,10.66176236
